# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
1271,1776205286.6741436,4067200,0.18108996748924255,2.068845272064209,-0.1757970005273819,2.793792963027954,-0.17426058650016785,2.978461265563965
1272,1776205287.147624,4070400,0.18108996748924255,2.068845272064209,-0.1751919537782669,2.346989631652832,-0.17426058650016785,2.978461265563965
1273,1776205289.054741,4073600,0.18108996748924255,2.068845272064209,-0.1751919537782669,2.346989631652832,-0.17589324712753296,2.3610587120056152
1274,1776205289.390433,4076800,0.178720623254776,2.2947380542755127,-0.1751919537782669,2.346989631652832,-0.17589324712753296,2.3610587120056152
1275,1776205293.9559765,4080000,0.1758335828781128,1.904958724975586,-0.1751919537782669,2.346989631652832,-0.17589324712753296,2.3610587120056152
1276,1776205294.8428473,4083200,0.1758335828781128,1.904958724975586,-0.17389008402824402,2.498164176940918,-0.17589324712753296,2.3610587120056152
1277,1776205296.2662997,4086400,0.1758335828781128,1.904958724975586,-0.17389008402824402,2.498164176940918,-0.17508548498153687,2.6428537368774414
1278,1776205296.7311344,4089600,0.1758335828781128,1.904958724975586,-0.17590075731277466,2.222622871398926,-0.17508548498153687,2.6428537368774414
1279,1776205298.553924,4092800,0.17344675958156586,2.5224058628082275,-0.17590075731277466,2.222622871398926,-0.17508548498153687,2.6428537368774414
1280,1776205299.0732327,4096000,0.17344675958156586,2.5224058628082275,-0.17590075731277466,2.222622871398926,-0.1758095920085907,2.466787576675415
1281,1776205303.2495909,4099200,0.1754286140203476,2.1225662231445312,-0.17590075731277466,2.222622871398926,-0.1758095920085907,2.466787576675415
1282,1776205305.0354161,4102400,0.1754286140203476,2.1225662231445312,-0.17426098883152008,3.003509521484375,-0.1758095920085907,2.466787576675415
1283,1776205305.837013,4105600,0.1754286140203476,2.1225662231445312,-0.17426098883152008,3.003509521484375,-0.17359748482704163,2.81477689743042
1284,1776205307.5380163,4108800,0.17378127574920654,2.3848989009857178,-0.17426098883152008,3.003509521484375,-0.17359748482704163,2.81477689743042
1285,1776205307.6186707,4112000,0.17378127574920654,2.3848989009857178,-0.1751735955476761,2.2647969722747803,-0.17359748482704163,2.81477689743042
1286,1776205308.8521483,4115200,0.17378127574920654,2.3848989009857178,-0.1751735955476761,2.2647969722747803,-0.1752454787492752,2.139575958251953
1287,1776205312.6762855,4118400,0.17386409640312195,1.968992829322815,-0.1751735955476761,2.2647969722747803,-0.1752454787492752,2.139575958251953
1288,1776205314.9831254,4121600,0.17386409640312195,1.968992829322815,-0.17374271154403687,2.116422176361084,-0.1752454787492752,2.139575958251953
1289,1776205315.7624621,4124800,0.17386409640312195,1.968992829322815,-0.17374271154403687,2.116422176361084,-0.1755102425813675,2.0157203674316406
1290,1776205316.6943321,4128000,0.17437951266765594,1.5294134616851807,-0.17374271154403687,2.116422176361084,-0.1755102425813675,2.0157203674316406
1291,1776205317.0136642,4131200,0.17437951266765594,1.5294134616851807,-0.17433705925941467,2.667487144470215,-0.1755102425813675,2.0157203674316406
1292,1776205318.6460278,4134400,0.17437951266765594,1.5294134616851807,-0.17433705925941467,2.667487144470215,-0.17523296177387238,2.9628117084503174
1293,1776205321.8502083,4137600,0.1741969883441925,2.1355912685394287,-0.17433705925941467,2.667487144470215,-0.17523296177387238,2.9628117084503174
1294,1776205324.3847473,4140800,0.1741969883441925,2.1355912685394287,-0.17533963918685913,2.2198336124420166,-0.17523296177387238,2.9628117084503174
1295,1776205325.3389983,4144000,0.1741969883441925,2.1355912685394287,-0.17533963918685913,2.2198336124420166,-0.17527924478054047,2.497215747833252
1296,1776205326.112286,4147200,0.17331691086292267,2.061424732208252,-0.17533963918685913,2.2198336124420166,-0.17527924478054047,2.497215747833252
1297,1776205326.7998574,4150400,0.17331691086292267,2.061424732208252,-0.1761532723903656,2.3283638954162598,-0.17527924478054047,2.497215747833252
1298,1776205327.840723,4153600,0.17331691086292267,2.061424732208252,-0.1761532723903656,2.3283638954162598,-0.1757328063249588,2.010995626449585
1299,1776205331.4371665,4156800,0.1732560247182846,2.103835105895996,-0.1761532723903656,2.3283638954162598,-0.1757328063249588,2.010995626449585
1300,1776205333.942805,4160000,0.1732560247182846,2.103835105895996,-0.17419829964637756,2.0543696880340576,-0.1757328063249588,2.010995626449585
1301,1776205334.8182108,4163200,0.1732560247182846,2.103835105895996,-0.17419829964637756,2.0543696880340576,-0.17254455387592316,2.1887800693511963
1302,1776205335.9345012,4166400,0.17065994441509247,1.6132657527923584,-0.17419829964637756,2.0543696880340576,-0.17254455387592316,2.1887800693511963
1303,1776205336.5939088,4169600,0.17065994441509247,1.6132657527923584,-0.17273105680942535,2.2376534938812256,-0.17254455387592316,2.1887800693511963
1304,1776205337.6676319,4172800,0.17065994441509247,1.6132657527923584,-0.17273105680942535,2.2376534938812256,-0.17104244232177734,2.4486892223358154
1305,1776205340.7710328,4176000,0.16961263120174408,1.6478453874588013,-0.17273105680942535,2.2376534938812256,-0.17104244232177734,2.4486892223358154
1306,1776205344.4790015,4179200,0.16961263120174408,1.6478453874588013,-0.17116445302963257,2.756943941116333,-0.17104244232177734,2.4486892223358154
